,username,repositories,followers,stars,forks,contributions
0,jwasham,31,4061,58693,15826,1007
1,gilvegliach,18,43,55,10,363
2,shiladitya-bits,28,15,16,11,113
3,diegocstn,23,14,111,7,397
4,ChristianJHughes,28,15,9,5,154
5,ankit167,19,9,0,2,141
6,samuelkarp,24,154,12,1,18
7,Jerryzcn,15,16,2,1,108
8,babhishek21,14,18,6,1,95
9,evanwchen,28,5,0,0,356
10,bkarthikeyan28,13,6,0,0,25
11,ps06756,13,11,0,1,63
12,rackeshnavale87,24,4,3,0,188
13,tmarkley,11,9,0,3,65
14,ankitsablok89,11,22,14,3,71
15,bfortuner,52,101,519,126,962
16,arsh,13,4,10,1,137
17,filiptodoric,15,14,5,1,289
18,iChip,11,4,1,1,27
19,himangshunits,21,5,8,4,137
20,hot13399,11,180,963,696,294
21,spangenberg,33,50,45,29,59
