,username,repositories,followers,stars,forks,contributions
0,fengnanyue,51,430,30,5,107
1,nlutsenko,17,494,26,4,115
2,andreazevedo,10,271,79,44,196
3,masterrr,43,142,34,7,250
4,lily-zhangying,48,133,18,17,400
5,viswanathgs,28,151,203,39,261
6,Kilenaitor,38,28,23,20,497
7,atuljangra,40,15,31,15,282
8,frantic,79,322,199,58,322
9,Nicholas-Swift,34,18,7,2,281
10,gontovnik,15,493,7049,836,83
11,biesnecker,9,20,57,16,56
12,lukkm,16,12,3,3,200
13,sud218,13,12,16,3,126
14,krschultz,29,131,4138,552,101
15,williampsmith,35,6,3,8,317
16,bradware,25,7,11,7,10
17,zxl9171,13,11,9,0,56
18,flarnie,106,285,77,23,481
19,mjesun,11,37,15,3,13
20,ivmaykov,26,6,0,0,3
21,hyurumi,9,8,15,8,153
22,bitsecondal,22,1,2,2,353
23,tangziyi001,16,15,7,1,568
24,corywilhite,9,5,7,2,77
25,BrentChesny,7,7,8,2,156
26,pmoulton,25,10,3,1,111
27,amnn,43,31,21,5,1365
28,michaelsuo,12,3,0,1,121
29,mikecole20,5,5,17,3,5
30,jeffbowen,8,35,3,2,10
31,Sally-Yang-Jing-Ou,17,23,12,2,284
32,tylerlacroix,9,6,0,1,40
33,Stiivi,42,216,602,99,577
34,glamtechie,5,4,2,2,21
35,mikearmstrong001,8,24,0,1,43
36,ninas,7,16,3,10,50
37,nsomar,87,189,5064,468,540
38,kyh8,11,6,2,5,137
39,anindyaspaul,21,28,5,10,179
40,poojasethi,13,12,6,1,277
41,ialexryan,20,29,46,17,554
42,kulshrax,4,3,0,1,109
43,AnatoliyS,12,5,4,5,73
44,orrsella,20,175,774,162,849
45,harrischristiansen,36,32,21,16,823
46,ammubhave,50,24,5,6,543
47,zongzhengli,10,7,15,7,0
48,agola11,10,5,12,4,62
49,rogy,1,10,0,0,1
50,cuhtis,18,17,15,0,310
51,andresarbelaez,11,5,0,1,30
52,jessicajji,16,4,0,3,56
53,m0vefaster,14,1,6,1,265
54,safonovklim,9,3,6,4,102
55,jshepley14,12,4,0,1,176
56,jchen236,25,5,5,1,292
57,melonhead901,17,8,0,0,249
58,dreamworks007,5,0,0,0,0
59,andrewjkennedy,4,8,0,0,0
60,yongla,4,5,0,0,4
61,mattrasto,5,5,0,0,57
