,username,repositories,followers,stars,forks,contributions
0,ssundarraj,50,144,80,22,484
1,andrerod,55,64,6,3,0
2,yoavz,49,76,238,44,505
3,andmej,96,168,210,78,1309
4,SuzyWu2014,84,27,7,7,793
5,tomhennigan,21,65,29,2,131
6,mfoltzgoogle,7,15,0,0,8
7,flexwang,13,37,80,30,445
8,foxish,85,91,14,6,524
9,deanberris,18,72,9,1,41
10,tikurahul,25,28,47,16,135
11,csu,91,344,587,213,2303
12,rishirdua,29,139,220,149,33
13,torcellite,21,15,83,62,159
14,BenDiuguid,34,21,11,4,301
15,evandbrown,85,239,37,38,638
16,yang-chen,8,27,11,15,113
17,supersam654,38,10,8,2,182
18,liyinan926,15,18,9,0,92
19,songy23,28,9,0,0,112
20,arikrak,66,41,9,1,482
21,jianglai,13,21,0,0,7
22,tamalsaha,90,66,10,1,301
23,saad-ali,10,94,0,1,6
24,danasilver,59,42,22,9,738
25,Shrugs,96,783,918,112,622
26,mayank2903,8,118,15,8,35
27,allevato,27,116,24,6,102
28,asgarli,8,11,0,0,15
29,Strilanc,55,78,467,88,3537
