,username,repositories,followers,stars,forks,contributions
0,sayar,59,435,570,764,308
1,sozercan,85,39,222,43,224
2,meulta,45,56,42,46,192
3,joescars,54,31,24,8,341
4,TravisEz13,48,71,20,9,390
5,adeepkit01,30,32,1,21,306
6,jcorioland,46,22,35,89,289
7,ranveeraggarwal,36,124,106,48,597
8,alyosama,19,33,0,2,89
9,ananddayalan,10,33,54,41,56
10,Tyriar,101,379,599,109,1471
11,csu,91,344,587,213,2303
12,erdennis13,23,19,4,1,974
13,liliankasem,55,30,30,18,258
14,vivianhoang,57,11,6,1,114
15,jeffwilcox,72,255,333,111,548
16,sophorsk,90,8,0,0,68
17,shivanshu3,14,19,16,19,543
18,brownmike,11,16,1,2,42
19,adrientoub,15,13,16,1,366
20,hovax,22,19,6,2,257
21,roymoran,19,10,6,0,118
22,microsoftmvp,1,5,0,0,6
23,jorticus,11,21,74,31,390
24,msbanik,43,15,17,8,47
25,KTOmega,19,10,0,0,207
26,nevinvalsaraj,42,100,5,1,249
27,xueyinw,29,15,1,0,158
28,rosshamish,54,44,62,12,1405
29,pbowden-msft,15,108,250,32,142
30,pbowden-msft,15,108,250,32,142
31,sshumakov,3,14,0,0,0
32,KimTooFlex,26,91,30,22,48
33,pkovacevic,19,14,25,2,69
34,Chris113113,17,25,4,2,52
35,CarlosSardo,10,9,0,0,10
36,ndrix,15,26,8,1,22
37,SimonSchick,33,20,7,5,454
38,czlx0701,10,8,0,0,18
39,dipongkor,41,12,8,5,264
40,RedSquirrelious,88,13,2,1,397
41,emgarten,12,27,33,16,503
42,haroldma-zz,52,34,99,29,1377
43,andschwa,109,192,147,56,4500
44,bricelam,16,225,369,48,153
45,tstringer,99,95,897,172,1676
46,chgeuer,133,49,129,54,2360
47,gh123man,44,35,47,23,609
48,temilaj,46,184,107,19,272
49,rushabh55,18,4,2,2,201
50,calebjenkins,253,18,2,0,101
51,mishra14,35,13,4,6,537
52,Nikit2793,3,10,0,2,14
53,Meghaditya,12,5,2,2,66
54,UnwrittenFun,31,34,66,30,386
55,tikyau,158,101,122,110,234
56,christiango,8,6,0,0,0
57,itsananderson,120,64,29,12,1235
58,alexdrone,26,227,5840,557,631
59,joshuakcockrell,13,8,9,10,584
60,mariusschulz,25,182,371,145,1249
61,JakeShirley,7,6,0,0,53
62,pkwiecien,12,8,11,14,541
63,VincentDondain,17,14,0,0,133
64,spetz,18,172,200,68,141
65,ultimateboy,56,22,92,25,96
66,darinh,21,5,9,2,19
67,lukekim,6,6,0,0,0
68,renatogroffe,90,215,120,57,144
69,samiyaakhtar,9,5,1,1,151
70,AesteroidBlues,10,17,1,2,77
71,conniey,45,19,0,1,83
72,denisivan0v,31,23,7,3,212
73,briwilcox,18,22,26,10,112
74,Tadimsky,43,21,9,3,864
75,rozele,49,69,32,12,118
76,HappyJimmy1993,9,8,0,0,60
77,lzybkr,21,180,1155,143,587
78,whichrakesh,15,6,0,1,89
79,stvansolano,30,103,52,62,221
80,andrew-buckley,19,5,0,0,1
81,benjaminhyw,33,7,1,1,1404
82,spryor,11,4,1,2,151
83,MarcinJuraszek,11,24,47,12,97
84,ajaypantangi,5,12,0,0,0
85,alex-wap,58,48,41,21,779
86,ActiveNick,125,228,181,107,471
87,ppatierno,34,113,105,55,370
88,zhedahht,11,311,443,368,209
89,azchohfi,35,146,136,17,10
90,masoncusack,19,2,0,1,71
91,pankajparkar,23,67,4,5,262
92,bzhu94,15,2,0,0,7
93,jj09,63,71,126,42,386
94,chaseholland,17,6,0,0,64
95,jwendl,94,28,4,1,233
96,ashergarland,13,2,0,0,62

