,username,repositories,followers,stars,forks,big_n
50,johnmccutchan,1,210,0,0,0
61,APMonitor,8,33,55,33,0
73,johnwilander,9,27,67,23,0
76,johnpc,6,56,0,0,0
80,johnalexandergreene,9,53,309,16,0
86,collision,7,45,8,1,0
96,jhirbour,14,32,4,0,0
98,jblyberg,11,38,38,4,0
106,donjo,14,31,0,2,0
117,ChromisPos,3,30,66,133,0
118,seedprod,14,23,27,12,0
119,JohnLangford,2,494,5172,1311,0
122,johnbaku,3,55,0,0,0
123,barbagallo,12,23,1,5,0
125,jhnwlsn,14,26,4,0,0
128,johnksawers,13,13,6,1,0
131,johnislarry,10,14,2,0,0
138,ZaBlanc,3,47,804,129,0
149,john-tkach,9,4,0,0,0
162,johnschrom,10,19,49,24,0
172,johnfonte,13,17,2,0,0
174,johngrimes,11,18,137,11,0
177,jdori,0,32,0,0,0
178,dryfish,7,12,1,0,0
185,lucena,8,20,0,2,0
190,hitch17,7,11,18,9,0
199,tikaro,9,14,2,1,0
204,ZTGravity,13,69,0,0,0
214,SeriouslyAwesome,13,12,13,1,0
216,vegasgeek,4,22,7,2,0
217,kjschulz,14,10,2,3,0
219,jmtuley,10,11,7,1,0
226,johnwyles,14,12,36,12,0
232,johnlok,9,13,1,0,0
234,jrobson153,9,11,1,3,0
237,merrells,13,9,0,0,0
242,JohnONeill,6,12,0,0,0
243,Nexuapex,9,12,2,0,0
250,johnfriel,4,14,1,0,0
251,John-Connolly,6,12,260,11,0
253,johngodley,14,46,180,72,0
254,jsonmez,6,179,79,48,0
255,john30,14,19,125,70,0
258,johnwmcarneiro,13,10,0,0,0
261,johnvelis,9,10,0,0,0
262,JohnStratoudakis,14,8,4,0,0
269,johnpena,3,20,0,0,0
272,johncausey,6,11,2,1,0
273,jdetter,5,16,11,1,0
274,digitalvectorz,14,9,5,0,0
280,jlindgren90,11,8,0,1,0
283,mediamaker,6,13,1,0,0
285,jcroucher,12,5,13,8,0
286,j4johnfox,2,18,9,0,0
291,jstevensog,12,31,45,104,0
294,SidiGi,13,34,128,42,0
295,stackoverflowin,4,61,37,16,0
300,johnaoss,11,7,5,4,0
303,johnbear724,8,41,3,1,0
307,jrdietrick,12,6,11,5,0
308,johnhaitas,14,6,4,0,0
310,jmac,1,22,3,2,0
311,theblanchard,6,9,0,0,0
312,jfpoole,10,7,3,0,0
325,tromp,9,104,567,121,0
326,thatmoodyguy,12,6,1,0,0
331,Svti,10,36,57,49,0
332,cetfor,3,26,136,28,0
333,jdpipe,4,10,0,0,0
335,johnwright,11,6,5,1,0
336,john-saman,11,29,3,0,0
342,Launchbury,1,22,0,0,0
346,JRSaunders,10,4,1,0,0
347,j2d3,13,6,2,0,0
348,mysticw,7,5,0,0,0
349,folkhack,7,5,47,22,0
352,jimbomcb,7,8,4,0,0
353,jmutter,4,12,4,2,0
357,ilitirit,2,13,42,13,0
361,johnmurch,12,5,0,0,0
371,jjacquay712,5,8,14,2,0
372,gozoinks,5,8,206,93,0
374,Lin20,13,20,138,24,0
377,etzJohn,14,20,0,4,0
380,cryon,10,6,58,11,0
385,jheintz,14,5,3,1,0
387,clemej,10,6,12,3,0
402,jplarson,7,6,24,5,0
403,jmercha,13,5,5,4,0
405,WALLTECH,4,8,9,1,0
406,urbildpunkt,9,5,2,0,0
407,lookyhooky,13,5,0,1,0
416,johnpeele,6,7,2,0,0
418,jchapin,3,9,0,0,0
421,johncscott,8,6,0,1,0
425,mstczuo,14,18,5,2,0
426,johnbreslin,2,12,0,0,0
427,Warblefly,8,7,24,3,0
428,thatjohnmartin,14,4,0,0,0
432,tronixstuff,2,13,0,1,0
440,jbfm,8,6,3,2,0
443,johndahlstrom,4,7,2,0,0
445,altenmueller,10,5,4,1,0
447,johndyer,12,422,105,33,0
448,jfurcean,4,5,6,1,0
450,JohnBrunswick,10,25,24,16,0
452,johnwheal,3,10,0,0,0
470,johnvanweel,6,6,1,1,0
471,maloner,6,6,2,0,0
474,x3graphics,13,4,1,0,0
477,JohnCoates,12,342,12556,681,0
483,jplong91,12,16,0,0,0
484,JohnNay,10,17,27,10,0
485,achillean,12,262,663,192,0
492,invaderjohn,9,15,2,16,0
494,JohnMunsch,13,38,409,65,0
496,jjanes,4,7,1,0,0
502,ebashmakov,7,5,21,4,0
511,johnferrie,7,5,1,0,0
512,jzagnoli,5,6,0,0,0
513,jac18281828,5,6,0,0,0
519,j-mccarthy,9,4,0,0,0
520,johnezang,12,340,6230,1794,0
522,JohnnyDevMode,11,4,0,2,0
525,AutoSecTools,7,5,7,3,0
533,johnpmorris,8,16,16,2,0
540,johnmichaloski,8,21,19,12,0
542,Jumboperson,6,19,133,65,0
546,johndeu,10,4,0,0,0
547,jengdal,10,4,1,0,0
549,johnhmarks,4,7,2,0,0
550,staskevich,4,7,13,4,0
554,thajo,13,24,7,16,0
556,johnpeb,5,5,0,0,0
557,grangej,14,3,0,0,0
559,cowboycoded,3,7,0,0,0
560,gianmaria,10,7,0,0,0
568,Sinjhin,7,5,0,0,0
572,johnmartinez,1,10,1,0,0
573,johnsheehan,6,253,14,4,0
575,toymakerlabs,13,6,186,72,0
576,freddier,9,1612,734,1452,0
593,GreeeneJD,4,10,0,0,0
598,feurix,4,5,24,8,0
601,johnyscrazy,10,3,0,3,0
602,johnbrooks,6,5,0,0,0
609,jbales,13,2,1,0,0
611,coffeerings,9,4,7,0,0
615,johnlpage,13,24,66,29,0
617,johngulb,8,4,0,0,0
622,JohnBlazek,7,4,0,0,0
627,johnjlocke,9,3,6,3,0
635,rozeskjm,3,6,0,0,0
636,jrbj,0,11,0,0,0
645,mmport80,13,12,22,11,0
