,username,repositories,followers,stars,forks,contributions
0,john,44,65,18,5,0
1,JohnSundell,43,1360,11328,589,0
2,jdegoes,60,477,1021,96,0
3,jr0cket,334,167,65,89,0
4,johndrinkwater,82,225,45,13,0
5,JohnMcLear,211,158,232,205,0
6,jmhobbs,201,107,1729,231,0
7,jwang,81,155,185,299,0
8,johnjelinek,86,57,23,10,0
9,johnnyclem,163,79,66,42,0
10,jmichelin,163,51,8,16,0
11,jreese,62,91,938,281,0
12,johnculviner,40,115,992,928,0
13,johnleider,18,154,229,46,0
14,sneeu,44,48,151,40,0
15,jagracey,18,231,529,34,0
16,johnhamelink,94,60,182,49,0
17,jcvernaleo,73,70,1,5,0
18,jrleeman,88,61,42,27,0
19,johnewart,111,52,596,108,0
20,johnkary,62,57,324,27,0
21,jkeiser,68,60,112,43,0
22,routelastresort,114,61,9,6,0
23,jbristowe,40,64,211,53,0
24,jgoz,61,27,43,9,0
25,jdpedrie,45,71,102,15,0
26,johnl,42,75,274,60,0
27,jhiesey,39,82,604,100,0
28,jpignata,47,65,490,78,0
29,jm991,29,58,147,185,0
30,johnpaulashenfelter,72,50,24,6,0
31,johnhaley81,75,40,61,9,0
32,jarv,44,50,769,85,0
33,johnagan,26,71,784,129,0
34,jprjr,109,27,314,84,0
35,rubyonrailstutor,23,60,3,8,0
36,johnfkraus,233,18,1,3,0
37,jbfink,135,124,399,168,0
38,jreading,40,44,43,21,0
39,gundalow,55,45,0,0,0
40,jtdowney,41,50,72,20,0
41,kala855,24,64,7,13,0
42,johnnylambada,48,45,793,219,0
43,otac0n,56,41,271,100,0
44,johnthethird,79,33,525,68,0
45,johnwargo,46,44,136,92,0
46,dctrwatson,35,50,44,15,0
47,jfoley,23,59,27,8,0
48,jmcfarlane,32,22,171,16,0
49,jmondo,39,35,27,9,0
50,johnmccutchan,1,210,0,0,0
51,jhixson74,16,30,0,1,0
52,johnz133,34,46,0,0,0
53,jwood,22,57,407,211,0
54,johnsimons,52,27,9,1,0
55,jmccrae,48,27,64,18,0
56,jbarrett,45,41,11,8,0
57,johnelliott,87,24,19,4,0
58,johnfig,78,20,8,4,0
59,jahewson,53,31,617,105,0
60,johnkoht,68,20,90,45,0
61,APMonitor,8,33,55,33,0
62,johnd,28,30,19,6,0
63,johndrkurtcom,53,20,0,0,0
64,flesch,58,12,78,14,0
65,JohnAllsopp,19,43,131,32,0
66,vii,20,42,254,32,0
67,jtmcdole,22,39,141,24,0
68,jotson,29,41,178,31,0
69,johnbeynon,50,20,66,56,0
70,ashgti,27,25,29,3,0
71,rothfels,23,27,4,3,0
72,zerocrates,30,31,31,32,0
73,johnwilander,9,27,67,23,0
74,coogle,72,16,21,20,0
75,John-Kenney,20,28,9,12,0
76,johnpc,6,56,0,0,0
77,adduc,80,18,39,34,0
78,johnreilly,45,20,81,12,0
79,jeberly,25,26,61,13,0
80,johnalexandergreene,9,53,309,16,0
81,user-none,21,34,36,9,0
82,mildfuzz,54,18,7,3,0
83,jpavley,43,20,16,8,0
84,jhallard,30,24,22,6,0
85,regnerjr,52,35,9,5,0
86,collision,7,45,8,1,0
87,JohnnyLe,61,18,78,68,0
